Date,Open,High,Low,Close,Adj Close,Volume
2011-09-27,1979.829956,2011.180054,1917.160034,1960.239990,1560.688477,212887
2011-09-28,1927.599976,1992.900024,1893.640015,1992.900024,1586.691284,242009
2011-09-29,1979.829956,1979.829956,1910.619995,1930.209961,1536.779175,64732
2011-09-30,1958.939941,1991.640015,1913.229980,1936.739990,1541.978149,146227
2011-10-03,1888.420044,1980.709961,1853.160034,1881.890015,1498.308105,118445
2011-10-04,1853.160034,1862.300049,1714.719971,1725.180054,1373.540039,142245
2011-10-05,1800.920044,1842.709961,1691.219971,1842.709961,1467.114258,228400
2011-10-06,1842.709961,1889.719971,1815.290039,1829.660034,1456.724243,202050
2011-10-07,1888.420044,1888.420044,1798.310059,1828.339966,1455.673096,160820
2011-10-10,1817.900024,1865.010010,1811.369995,1853.160034,1475.433960,104261
2011-10-11,1832.270020,1901.479980,1832.270020,1877.969971,1495.187134,95939
2011-10-12,1860.989990,2037.300049,1830.959961,2037.300049,1622.041260,249013
2011-10-13,2015.099976,2093.459961,1988.979980,1996.810059,1589.804321,199007
2011-10-14,2080.399902,2080.399902,1961.560059,2011.180054,1601.245483,175950
2011-10-17,2004.640015,2051.669922,1951.099976,1958.939941,1559.653198,248031
2011-10-18,1936.739990,1951.099976,1906.699951,1919.770020,1528.467163,141839
2011-10-19,1932.819946,1957.630005,1851.859985,1897.560059,1510.784058,68651
2011-10-20,1902.790039,1964.170044,1877.969971,1945.880005,1549.255249,91157
2011-10-21,1969.390015,2058.189941,1890.819946,2043.829956,1627.240234,132130
2011-10-24,2050.360107,2057.469971,2007.270020,2037.300049,1622.041260,38546
2011-10-25,2051.669922,2132.629883,2034.689941,2103.899902,1675.066284,90194
2011-10-26,2073.870117,2106.510010,2054.280029,2068.639893,1646.993286,126892
2011-10-27,2130.020020,2130.020020,2063.419922,2106.510010,1677.144531,86703
2011-10-28,2093.459961,2141.780029,2029.339966,2126.100098,1692.741333,236984
2011-10-31,2147.000000,2148.179932,2008.569946,2029.469971,1615.807129,122946
2011-11-01,1992.900024,1992.900024,1896.260010,1904.089966,1515.983154,141737
2011-11-02,1945.880005,2007.270020,1912.069946,1977.219971,1574.207153,98992
2011-11-03,1884.500000,2029.469971,1883.199951,2011.180054,1601.245483,115259
2011-11-04,2004.640015,2071.260010,1987.680054,2009.880005,1600.210205,47655
2011-11-07,1986.369995,2080.379883,1966.780029,2062.110107,1641.794434,131596
2011-11-08,2086.919922,2106.510010,2063.419922,2084.310059,1659.469360,81158
2011-11-09,2089.530029,2090.840088,2049.060059,2060.810059,1640.759155,52328
2011-11-10,2012.489990,2073.870117,1949.800049,1994.199951,1587.726196,39085
2011-11-11,1960.239990,1992.900024,1949.800049,1979.829956,1576.285278,39244
2011-11-14,2004.640015,2004.640015,1954.339966,1953.719971,1555.497192,48319
2011-11-15,1952.410034,1972.000000,1921.069946,1943.270020,1547.177368,50829
2011-11-16,1955.020020,1970.469971,1928.900024,1958.939941,1559.653198,72761
2011-11-17,1958.939941,1958.939941,1924.989990,1957.630005,1558.610352,58268
2011-11-18,1964.170044,1964.170044,1926.290039,1958.939941,1559.653198,48530
2011-11-21,1958.939941,1958.939941,1898.869995,1913.229980,1523.260010,54304
2011-11-22,1936.739990,1961.560059,1926.290039,1953.719971,1555.497192,88643
2011-11-23,1958.939941,1966.780029,1919.770020,1945.880005,1549.255249,51353
2011-11-24,1944.579956,1973.310059,1924.989990,1957.630005,1558.610352,51483
2011-11-25,1958.939941,1958.939941,1901.479980,1935.430054,1540.935425,56108
2011-11-28,1919.770020,2013.790039,1916.729980,1994.199951,1587.726196,117806
2011-11-29,2025.540039,2025.540039,1958.369995,1985.060059,1580.449219,124743
2011-11-30,2025.540039,2025.540039,1914.530029,2022.930054,1610.600342,96531
2011-12-01,2025.540039,2026.859985,1974.609985,2026.859985,1613.729126,73465
2011-12-02,2024.239990,2059.500000,1972.000000,2037.300049,1622.041260,56138
2011-12-05,2059.500000,2085.620117,2033.380005,2068.639893,1646.993286,58854
2011-12-06,2067.330078,2084.310059,2043.829956,2075.169922,1652.192139,75812
2011-12-07,2088.229980,2089.530029,1983.760010,2066.030029,1644.915283,137933
2011-12-08,1998.119995,2064.719971,1998.119995,2049.060059,1631.404419,174552
2011-12-09,2088.229980,2088.229980,2028.160034,2085.620117,1660.512451,108914
2011-12-12,2019.010010,2069.939941,2019.010010,2050.360107,1632.439575,70953
2011-12-13,2050.360107,2158.760010,2016.819946,2123.489990,1690.663330,175963
2011-12-14,2167.899902,2233.189941,2000.729980,2077.790039,1654.278320,361292
2011-12-15,2086.919922,2102.600098,2038.229980,2056.889893,1637.638184,131787
2011-12-16,2063.419922,2094.760010,1994.199951,2066.030029,1644.915283,215340
2011-12-19,2096.070068,2115.659912,2077.790039,2094.760010,1667.789429,78641
2011-12-20,2102.600098,2115.659912,2045.130005,2086.919922,1661.547363,95916
2011-12-21,2115.659912,2115.659912,2041.209961,2081.699951,1657.391357,89742
2011-12-22,2042.520020,2115.659912,2038.599976,2115.659912,1684.429321,83707
2011-12-23,2144.389893,2144.389893,2051.280029,2107.820068,1678.187500,4485
2011-12-28,2107.820068,2115.659912,2020.319946,2041.209961,1625.154297,90346
2011-12-29,2037.300049,2037.300049,1929.229980,1985.060059,1580.449219,219298
2011-12-30,1987.680054,1987.680054,1947.189941,1965.469971,1564.852295,146649
2012-01-03,1965.469971,2077.790039,1934.130005,2077.790039,1654.278320,146771
2012-01-04,2086.919922,2137.860107,2052.889893,2115.659912,1684.429321,243176
2012-01-05,2115.659912,2122.189941,2087.699951,2098.679932,1670.910400,188948
2012-01-06,2113.040039,2137.860107,2089.530029,2115.659912,1684.429321,174520
2012-01-09,2137.860107,2139.169922,2060.810059,2115.659912,1684.429321,72544
2012-01-10,2139.169922,2192.709961,2109.590088,2180.959961,1736.419189,188064
2012-01-11,2188.790039,2191.399902,2109.120117,2161.370117,1720.822266,119372
2012-01-12,2118.270020,2192.709961,2118.270020,2186.179932,1740.575317,79492
2012-01-13,2192.709961,2192.709961,2150.919922,2173.120117,1730.177368,85125
2012-01-16,2160.060059,2204.469971,2149.879883,2183.570068,1738.497437,82832
2012-01-17,2208.379883,2272.370117,2163.979980,2163.979980,1722.900391,148046
2012-01-18,2167.899902,2222.739990,2167.899902,2167.899902,1726.021362,180471
2012-01-19,2167.899902,2212.300049,2166.590088,2180.959961,1736.419189,277041
2012-01-20,2180.959961,2220.129883,2161.370117,2207.080078,1757.215332,139950
2012-01-23,2199.229980,2250.169922,2199.229980,2238.409912,1782.159302,112044
2012-01-24,2220.129883,2246.260010,2220.129883,2238.409912,1782.159302,110606
2012-01-25,2246.260010,2256.699951,2220.129883,2233.189941,1778.003418,71897
2012-01-26,2285.429932,2288.159912,2239.719971,2254.090088,1794.643311,75034
2012-01-27,2254.090088,2294.780029,2254.090088,2285.429932,1819.595337,88940
2012-01-30,2220.129883,2289.340088,2220.129883,2256.699951,1796.721558,193051
2012-01-31,2256.699951,2310.560059,2256.699951,2274.989990,1811.283447,112685
2012-02-01,2250.169922,2336.800049,2242.330078,2297.189941,1828.958374,222681
2012-02-02,2318.080078,2318.080078,2258.010010,2295.879883,1827.915405,159522
2012-02-03,2293.270020,2324.610107,2284.120117,2315.469971,1843.512329,264454
2012-02-06,2311.560059,2315.469971,2293.270020,2308.929932,1838.305176,84951
2012-02-07,2308.929932,2308.929932,2276.290039,2288.040039,1821.673462,195242
2012-02-08,2259.310059,2303.709961,2259.310059,2291.959961,1824.794556,46159
2012-02-09,2311.560059,2311.560059,2276.290039,2280.209961,1815.439453,80835
2012-02-10,2289.340088,2301.199951,2255.389893,2290.659912,1823.759155,49469
2012-02-13,2293.270020,2301.100098,2282.820068,2298.489990,1829.993408,54333
2012-02-14,2293.270020,2307.629883,2286.169922,2291.959961,1824.794556,118187
2012-02-15,2308.929932,2308.929932,2264.530029,2288.040039,1821.673462,150777
2012-02-16,2273.679932,2303.709961,2268.459961,2298.489990,1829.993408,96304
2012-02-17,2306.320068,2306.320068,2251.889893,2299.800049,1831.036499,76732
2012-02-20,2308.929932,2308.929932,2251.479980,2298.489990,1829.993408,129444
2012-02-21,2289.340088,2303.709961,2263.229980,2290.659912,1823.759155,78188
2012-02-22,2285.429932,2308.929932,2272.370117,2307.629883,1837.270264,49272
2012-02-23,2308.929932,2324.610107,2286.729980,2324.610107,1850.789429,50515
2012-02-24,2322.000000,2342.889893,2238.409912,2312.860107,1841.434570,123743
2012-02-27,2314.169922,2318.080078,2210.989990,2293.270020,1825.837280,132206
2012-02-28,2298.489990,2303.709961,2231.889893,2288.040039,1821.673462,75198
2012-02-29,2294.580078,2298.489990,2227.969971,2259.310059,1798.799316,143974
2012-03-01,2250.169922,2298.489990,2231.889893,2285.429932,1819.595337,145998
2012-03-02,2294.580078,2299.800049,2231.889893,2298.489990,1829.993408,122459
2012-03-05,2294.580078,2311.560059,2261.919922,2311.560059,1840.399536,182670
2012-03-06,2260.620117,2311.560059,2260.620117,2301.100098,1832.071655,216129
2012-03-07,2289.340088,2311.560059,2289.340088,2311.560059,1840.399536,78117
2012-03-08,2305.020020,2335.060059,2295.879883,2327.219971,1852.867432,132424
2012-03-09,2314.169922,2322.000000,2305.020020,2310.239990,1839.348389,103464
2012-03-12,2299.800049,2363.790039,2286.979980,2308.929932,1838.305176,162717
2012-03-13,2310.239990,2320.689941,2305.020020,2315.469971,1843.512329,262346
2012-03-14,2315.469971,2363.790039,2250.729980,2352.030029,1930.997314,332823
2012-03-15,2352.030029,2355.959961,2332.439941,2350.729980,1929.929932,356790
2012-03-16,2346.810059,2358.570068,2329.830078,2353.340088,1932.073120,333558
2012-03-19,2353.340088,2356.840088,2231.889893,2331.139893,1913.846802,177743
2012-03-20,2333.760010,2337.669922,2293.370117,2322.000000,1906.342651,284611
2012-03-21,2311.560059,2324.610107,2271.070068,2277.600098,1869.890747,179917
2012-03-22,2263.229980,2301.100098,2261.919922,2291.959961,1881.680054,162202
2012-03-23,2291.959961,2331.610107,2252.780029,2269.760010,1863.454224,127156
2012-03-26,2272.370117,2320.060059,2271.070068,2291.959961,1881.680054,297799
2012-03-27,2298.489990,2323.300049,2277.600098,2306.320068,1893.469971,255443
2012-03-28,2306.320068,2306.320068,2251.479980,2268.459961,1862.386719,157917
2012-03-29,2278.899902,2295.879883,2252.780029,2268.459961,1862.386719,136196
2012-03-30,2264.530029,2276.290039,2247.560059,2269.760010,1863.454224,253350
2012-04-02,2281.510010,2293.270020,2256.699951,2272.370117,1865.597534,217139
2012-04-03,2282.820068,2297.189941,2240.510010,2265.840088,1860.236084,143731
2012-04-04,2269.760010,2269.760010,2194.929932,2199.229980,1805.549805,179198
2012-04-05,2212.300049,2259.310059,2175.729980,2247.560059,1845.228394,160023
2012-04-10,2247.560059,2247.560059,2187.489990,2210.989990,1815.204590,158350
2012-04-11,2220.129883,2275.219971,2212.300049,2258.010010,1853.807739,217693
2012-04-12,2267.139893,2267.139893,2165.280029,2175.729980,1786.256348,376718
2012-04-13,2182.260010,2194.899902,2111.729980,2148.300049,1763.736572,181025
2012-04-16,2148.300049,2152.219971,2115.659912,2122.189941,1742.300537,257029
2012-04-17,2128.709961,2197.929932,2109.120117,2120.879883,1741.224976,209056
2012-04-18,2118.270020,2145.689941,2100.489990,2141.780029,1758.383667,247868
2012-04-19,2153.530029,2165.280029,2081.229980,2141.780029,1758.383667,123826
2012-04-20,2133.939941,2147.000000,2115.659912,2120.879883,1741.224976,90383
2012-04-23,2122.189941,2150.919922,2086.919922,2131.330078,1749.804321,134356
2012-04-24,2126.100098,2133.939941,2093.459961,2116.969971,1738.014893,122142
2012-04-25,2103.899902,2157.439941,2079.090088,2114.360107,1735.872314,175338
2012-04-26,2067.330078,2119.580078,2066.030029,2110.429932,1732.645508,59123
2012-04-27,2097.379883,2111.729980,2083.010010,2093.459961,1718.713501,112825
2012-04-30,2094.760010,2179.639893,2063.419922,2063.419922,1694.050903,147147
2012-05-01,2064.719971,2131.330078,2064.719971,2105.209961,1728.359985,98846
2012-05-02,2092.139893,2107.820068,2062.110107,2075.169922,1703.697510,136172
2012-05-03,2076.479980,2222.199951,2059.500000,2192.709961,1800.196655,413636
2012-05-04,2222.739990,2222.739990,2160.060059,2167.899902,1779.827759,181288
2012-05-08,2167.899902,2183.570068,2128.709961,2131.330078,1749.804321,228994
2012-05-09,2180.959961,2180.959961,2073.870117,2079.090088,1706.915771,255591
2012-05-10,2110.429932,2110.429932,2063.419922,2063.419922,1694.050903,101488
2012-05-11,2062.110107,2073.870117,2058.189941,2063.419922,1694.050903,138086
2012-05-14,2055.580078,2064.719971,2005.959961,2026.859985,1664.035156,117178
2012-05-15,2042.520020,2059.500000,2032.079956,2034.689941,1670.463623,214954
2012-05-16,2032.079956,2046.079956,1999.420044,2024.239990,1661.884521,66399
2012-05-17,2037.300049,2037.300049,1971.670044,1978.530029,1624.357056,102511
2012-05-18,1985.060059,1998.119995,1926.290039,1930.209961,1584.686523,110479
2012-05-21,1918.459961,1958.939941,1905.400024,1919.770020,1576.115356,96844
2012-05-22,1921.069946,1943.270020,1919.770020,1919.770020,1576.115356,131933
2012-05-23,1915.839966,1915.839966,1877.660034,1891.030029,1552.520142,171167
2012-05-24,1924.989990,1928.900024,1894.939941,1906.699951,1565.385132,69812
2012-05-25,1892.329956,1936.739990,1874.060059,1887.109985,1549.301636,132626
2012-05-29,1953.719971,1953.719971,1864.910034,1881.890015,1545.016357,102671
2012-05-30,1889.719971,1889.719971,1850.540039,1867.520020,1533.218384,73097
2012-05-31,1877.969971,1960.239990,1849.239990,1875.359985,1539.655273,166319
2012-06-01,1867.520020,1880.589966,1832.270020,1859.689941,1526.790161,64600
2012-06-06,1859.689941,1893.640015,1853.189941,1874.060059,1538.587891,71544
2012-06-07,1898.869995,1906.699951,1871.439941,1893.640015,1554.662842,85046
2012-06-08,1870.130005,1897.859985,1867.520020,1883.199951,1546.091553,66710
2012-06-11,1893.640015,1926.290039,1887.109985,1889.719971,1551.444458,114248
2012-06-12,1883.199951,1915.839966,1883.199951,1915.839966,1572.888916,88001
2012-06-13,1909.310059,1928.900024,1885.810059,1914.530029,1571.813477,70070
2012-06-14,1901.479980,1914.530029,1832.939941,1906.699951,1565.385132,78688
2012-06-15,1904.089966,2054.199951,1901.479980,2052.969971,1685.471313,369613
2012-06-18,2017.709961,2033.380005,1961.560059,1982.439941,1627.567017,121097
2012-06-19,1978.530029,2034.689941,1978.530029,2012.489990,1652.237915,109776
2012-06-20,2022.930054,2076.479980,1999.420044,2073.870117,1702.630493,102844
2012-06-21,2083.010010,2083.010010,1949.530029,1964.170044,1612.567627,137180
2012-06-22,1958.939941,1975.920044,1935.430054,1960.239990,1609.340942,54618
2012-06-25,1962.859985,1972.000000,1911.920044,1911.920044,1569.670654,42242
2012-06-26,1902.790039,1979.829956,1902.790039,1945.880005,1597.551514,88551
2012-06-27,1991.589966,2008.569946,1958.939941,1960.239990,1609.340942,64526
2012-06-28,1951.099976,1970.589966,1904.089966,1919.770020,1576.115356,89189
2012-06-29,1941.969971,2030.770020,1941.969971,1953.719971,1603.988037,116047
2012-07-02,1944.579956,1970.699951,1932.819946,1958.939941,1608.273560,49180
2012-07-03,1953.719971,1985.060059,1953.719971,1985.060059,1629.717773,100316
2012-07-04,1969.390015,2011.180054,1960.239990,1961.560059,1610.424683,148375
2012-07-05,1970.699951,1981.140015,1898.869995,1981.140015,1626.499634,88305
2012-07-06,1974.609985,1987.680054,1970.699951,1974.609985,1621.138550,51268
2012-07-09,1915.839966,1977.219971,1876.670044,1977.219971,1623.281250,237381
2012-07-10,1974.609985,1981.140015,1953.719971,1979.829956,1625.424316,85748
2012-07-11,1975.920044,1976.079956,1945.880005,1972.000000,1618.995728,96691
2012-07-12,1960.239990,1972.000000,1949.800049,1966.780029,1614.710083,57309
2012-07-13,1965.469971,1982.439941,1958.939941,1972.000000,1618.995728,116038
2012-07-16,1969.390015,1982.439941,1917.160034,1972.000000,1618.995728,113374
2012-07-17,1917.160034,1978.530029,1917.160034,1972.000000,1618.995728,513685
2012-07-18,1970.699951,1999.420044,1962.859985,1975.920044,1622.213867,84146
2012-07-19,1973.310059,1999.420044,1969.390015,1995.510010,1638.297241,115761
2012-07-20,1991.589966,2021.619995,1982.439941,1994.199951,1637.221802,153210
2012-07-23,1988.979980,1992.900024,1958.939941,1985.060059,1629.717773,109674
2012-07-24,1985.060059,1990.290039,1965.469971,1972.000000,1618.995728,124949
2012-07-25,1961.560059,1981.069946,1955.020020,1974.609985,1621.138550,213977
2012-07-26,1960.239990,1975.920044,1952.410034,1969.390015,1616.853149,270110
2012-07-27,1969.390015,1996.810059,1965.469971,1995.510010,1638.297241,151514
2012-07-30,1995.510010,2046.439941,1988.979980,2042.520020,1676.892090,92548
2012-07-31,2042.520020,2042.520020,1994.199951,1995.510010,1638.297241,147938
2012-08-01,1995.510010,2017.709961,1986.369995,2003.339966,1644.725464,184774
2012-08-02,2003.339966,2020.319946,1969.390015,1991.589966,1635.078857,71295
2012-08-03,1982.439941,2000.729980,1982.439941,1990.290039,1634.011841,255537
2012-08-06,1983.760010,1990.290039,1974.609985,1977.219971,1623.281250,377153
2012-08-07,1977.219971,1988.979980,1969.390015,1972.000000,1618.995728,52005
2012-08-08,1972.000000,1981.069946,1958.939941,1958.939941,1608.273560,66130
2012-08-09,1964.170044,1969.910034,1956.329956,1956.329956,1606.130981,125932
2012-08-10,1945.880005,1966.359985,1917.160034,1945.880005,1597.551514,99724
2012-08-13,1956.329956,1964.170044,1925.140015,1935.430054,1588.972290,50918
2012-08-14,1960.239990,1964.170044,1943.270020,1949.800049,1600.769653,36984
2012-08-15,1951.099976,1962.859985,1938.040039,1938.040039,1591.115112,27663
2012-08-16,1947.189941,1952.410034,1921.069946,1936.739990,1590.047607,73436
2012-08-17,1948.489990,1948.489990,1934.130005,1941.969971,1594.341309,62776
2012-08-20,1941.969971,1947.189941,1896.260010,1911.920044,1569.670654,40714
2012-08-21,1906.699951,1945.880005,1906.699951,1939.359985,1592.198608,30203
2012-08-22,1926.290039,1926.290039,1896.260010,1905.400024,1564.317749,70614
2012-08-23,1914.530029,1917.670044,1862.900024,1864.910034,1531.075684,69671
2012-08-24,1875.359985,1885.810059,1845.319946,1854.469971,1522.504639,67062
2012-08-28,1854.469971,1854.469971,1797.000000,1817.900024,1492.480957,152698
2012-08-29,1813.979980,1836.319946,1787.589966,1815.290039,1490.338135,106838
2012-08-30,1815.290039,1842.709961,1815.290039,1828.339966,1501.052002,72219
